intentional homicides (per 100 000 people),gdp growth (annual %),exports of goods and services (% of gdp),inflation gdp deflator (annual %),research and development expenditure (% of gdp),expense (% of gdp),government expenditure on education total (% of gdp),corruption index,country
0.949552355,-1.994607569,54.92962126,2.60762108,2.961539984,39.72607774,6.380000114,10,Denmark
1.64238642,-2.205139373,35.92376167,1.481102024,2.935440063,41.15012834,5.880000114,13,Finland
0.571824685,-0.717182669,32.24525928,-3.604605158,2.276010036,45.79364467,5.900000095,16,Norway
1.227811515,-2.170213179,43.84730253,1.994045928,3.527220011,34.71977387,7.170000076,17,Sweden
0.543062675,-2.37556328,64.30703188,-0.74115299,1.2578417850666666,20.09644376,5.21999979,18,Switzerland
0.624457503,-3.886083918,78.2654765,1.928572016,2.294229984,43.43489887,5.300000191,20,Netherlands
0.933353043,-3.696788705,43.01312903,1.810810222,3.14425993,32.57136397,4.659999847,21,Germany
0.688566316,6.184538039,133.3372023,-1.565278573,1.232329965,25.8020064,3.099999905,23,Ireland
0.159750534,-0.797435589,199.6190009,4.694516219,1.128600001,42.65356902,4.96999979,23,Luxembourg
3.166133826,-0.551001258,69.27386299,-0.531509462,1.792469978,41.10834662,6.579999924,26,Estonia
1.465201465,-6.842296026,34.45124398,3.609520941,2.471760035,36.92361377,7.71999979,26,Iceland
1.6021300824666667,-5.361386633,79.44673891,1.510720974,3.477200031,44.0412173,6.710000038,27,Belgium
0.900294343,-11.03085846,29.23718972,5.933146815,1.2578417850666666,47.55720769,5.53000021,27,United Kingdom
1.346641192,-7.784586492,27.45022764,2.784576522,2.354929924,51.91175471,5.5,28,France
0.721709007,-6.453968467,51.61281493,2.558602152,3.201280117,50.62974343,5.070000172,29,Austria
3.710110345,-0.021762974,73.2502234,1.783323187,1.155279994,34.89185423,4.167735783288888,38,Lithuania
0.912059158,-8.300516042,37.04677424,2.003474567,1.61740005,44.57824239,5.010000229,38,Portugal
0.637367946,-11.32543832,30.79994526,1.225566343,1.405410051,41.98413401,4.590000153,40,Spain
3.711161371,-2.202985338,59.89934325,0.970729604,0.705500007,49.22682949,5.96999979,41,Latvia
0.719022592,-5.502967961,69.94877154,4.318402839,1.991039991,38.29045086,5.079999924,44,Czech Republic
0.471371788,-9.039953411,29.44323733,1.614769648,1.533910036,50.44358696,4.269999981,44,Italy
0.529117836,-4.321369905,77.74059766,1.259425427,2.147350073,45.44585275,5.760000229,44,Slovenia
0.70283715,-2.020070734,52.9909243,4.255038941,1.392050028,41.11445062,5.190000057,45,Poland
2.588494144,-11.18393994,55.554923568,1.113786074,1.2578417850666666,36.00744775022222,4.167735783288888,47,Andorra
2.622125495,0.0,55.554923568,0.0,1.2578417850666666,36.00744775022222,4.167735783288888,47,Liechtenstein
1.6021300824666667,-12.96513471,55.554923568,2.784789487,1.2578417850666666,36.00744775022222,4.167735783288888,47,Monaco
1.6021300824666667,-6.647910818,164.4786945,0.344576763,1.2578417850666666,47.44033688,3.424619913,47,San Marino
1.153921603,-3.374681766,85.07406554,2.370657784,0.911090016,42.63405167,4.610000134,47,Slovak Republic
1.24237904,-4.372474186,81.38877749,-1.209025386,0.822340012,42.48142844,6.059999943,48,Cyprus
0.748340986,-9.004043642,31.98844917,-0.86085916,1.496099949,58.50999841,4.440000057,48,Greece
1.58536392,-8.324283232,152.1581166,1.517154845,0.679889977,43.36439012,5.869999886,49,Malta
0.974357825,-8.580343021,41.48201452,0.734131433,1.248440027,45.54802567,5.539999962,50,Croatia
1.46067494,-3.677510791,36.87656458,4.109315184,0.47033,38.03901552,3.690000057,54,Romania
2.865959093,-15.30689376,25.99668555,-0.175604638,1.2578417850666666,36.00744775022222,4.167735783288888,55,Montenegro
0.993027936,-3.958614598,56.12090076,4.257860562,0.853510022,36.66672269,4.039999962,57,Bulgaria
0.828127345,-4.547263823,78.7285909,6.40490683,1.607660055,44.07369117,4.760000229,58,Hungary
3.018992206,-5.340275302,21.69514688,1.381106984,1.2578417850666666,36.00744775022222,4.167735783288888,59,Kosovo
1.684490177,-6.110886711,57.7714759,2.910146371,0.37560001,34.92416093,4.167735783288888,60,North Macedonia
3.604848394,-0.699607614,61.01214926,11.90788183,0.548969984,29.92813968,4.952449799,61,Belarus
2.305425211,-7.380182154,27.14000309,5.43003694,0.227540001,31.81456889,6.388720036,61,Moldova
2.119674752,-3.481630373,22.70398154,0.678486249,1.2578417850666666,24.78301643,3.099999905,64,Albania
1.018613152,-0.903218502,48.2190365,2.448416133,0.90595001,44.54471774,4.167735783288888,64,Serbia
1.310649945,-3.119290515,34.65301768,0.176003628,0.206139997,38.89065322,4.167735783288888,66,Bosnia and Herzegovina
6.306591685,-3.7528041,38.82164629,10.29494428,0.406080008,37.20920478,5.382319927,67,Ukraine
7.330002797,-2.663757511,25.58256331,0.657739076,1.098029971,35.38783505,3.730000019,72,Russian Federation
